Product Name,Product Price,Product Link
"Blue Star Y 5 in 1 Convertible 1 Ton 5 Star Inverter Split Smart AC with Turbo Cool (2023 Model, Copper Condenser, IC512YNURS)","₹38,890",/blue-star-y-5-in-1-convertible-1-ton-5-star-inverter-split-smart-ac-with-turbo-cool-2023-model-copper-condenser-ic512ynurs-/p/304528
"noise ColorFit Pro 3 Smartwatch with Activity Tracker (39.37mm TFT LCD Display, 5ATM Water Resistant, Jet Black Strap)","₹5,999",/noise-colorfit-pro-3-smartwatch-with-activity-tracker-39-37mm-tft-lcd-display-5atm-water-resistant-jet-black-strap-/p/234999
"in base Urban PRO X Smartwatch with Bluetooth Calling (45.72mm IPS TFT Display, Water Resistant, Green Strap)","₹7,499",/in-base-urban-pro-x-smartwatch-with-bluetooth-calling-45-72mm-ips-tft-display-water-resistant-green-strap-/p/260042
"noise ColorFit Nav Smartwatch with Activity Tracker (35.56mm LCD Display, IP68 Water Resistant, Camo Green Strap)","₹5,999",/noise-colorfit-nav-smartwatch-with-activity-tracker-35-56mm-lcd-display-ip68-water-resistant-camo-green-strap-/p/234998
"amazon Echo Show 8 (2nd Gen) with Built-in Alexa Smart Wi-Fi Speaker (Passive Bass Radiator Neodymium Speakers, White)","₹8,999",/amazon-echo-show-8-2nd-gen-with-built-in-alexa-smart-wi-fi-speaker-passive-bass-radiator-neodymium-speakers-white-/p/262839
"maxima Max Pro X5 Smartwatch with Activity Tracker (43mm Color IPS Display, IP68 Water Resistant, Black Strap)","₹5,999",/maxima-max-pro-x5-smartwatch-with-activity-tracker-43mm-color-ips-display-ip68-water-resistant-black-strap-/p/256163
"Fire-Boltt Mercury BSW006 Smartwatch with Camera & Music Control (45mm HD Display, IP67 Water Resistant, Black Strap)","₹7,999",/fire-boltt-mercury-bsw006-smartwatch-with-camera-music-control-45mm-hd-display-ip67-water-resistant-black-strap-/p/257328
"PORTRONICS Yogg Kronos Smartwatch with Activity Tracker (33mm TFT-LCD Display, IP68 Water Resistant, Black)","₹3,999",/portronics-yogg-kronos-smartwatch-with-activity-tracker-33mm-tft-lcd-display-ip68-water-resistant-black-/p/228048
"noise NoiseFit Agile Smart Watch with 14 Sports Modes (32.51mm Display, 5ATM Waterproof, Robust Black Strap)","₹6,999",/noise-noisefit-agile-smart-watch-with-14-sports-modes-32-51mm-display-5atm-waterproof-robust-black-strap-/p/243833
"maxima Max Pro X1 Smartwatch with Activity Tracker (35mm IPS TFT Display, 3ATM Water Resistant, Midnight Black Strap)","₹3,999",/maxima-max-pro-x1-smartwatch-with-activity-tracker-35mm-ips-tft-display-3atm-water-resistant-midnight-black-strap-/p/256162
"DEVIALET Mania Opera de Paris with Built-in Alexa Smart Wi-Fi Speaker (Active Stereo Calibration, Light Grey)","₹92,000",/devialet-mania-opera-de-paris-with-built-in-alexa-smart-wi-fi-speaker-active-stereo-calibration-light-grey-/p/272781
"Xiaomi QBH4202IN with Google Assistant Compatible Smart Wi-Fi Speaker (Buttons Control, Black)","₹5,999",/xiaomi-qbh4202in-with-google-assistant-compatible-smart-wi-fi-speaker-buttons-control-black-/p/230062
"FIRE-BOLTT Beast Smartwatch with Fitness & Health Tracking (42.9mm HD Display, IP67 Water Resistant, Black)","₹7,999",/fire-boltt-beast-smartwatch-with-fitness-health-tracking-42-9mm-hd-display-ip67-water-resistant-black-/p/238816
"noise ColorFit Vision Buzz Smartwatch with Bluetooth Calling (44.45mm TFT LCD Display, Water Resistant, Grey Strap)","₹5,999",/noise-colorfit-vision-buzz-smartwatch-with-bluetooth-calling-44-45mm-tft-lcd-display-water-resistant-grey-strap-/p/258725
"in base Urban Fit X Smartwatch with Activity Tracker (42.9mm LCD Display, IP68 Water Resistant, Blue Strap)","₹4,999",/in-base-urban-fit-x-smartwatch-with-activity-tracker-42-9mm-lcd-display-ip68-water-resistant-blue-strap-/p/251318
"LG 6 in 1 Convertible 1.5 Ton 5 Star AI Dual Inverter Split Smart AC (2022 Model, Copper Condenser, PS-Q19SWZF)","₹43,990",/lg-6-in-1-convertible-1-5-ton-5-star-ai-dual-inverter-split-smart-ac-2022-model-copper-condenser-ps-q19swzf-/p/246597
"in base Urban Pro Z Smartwatch with Bluetooth Calling (46.9mm HD Display, IP67 Water Resistant, Grey Strap)","₹9,999",/in-base-urban-pro-z-smartwatch-with-bluetooth-calling-46-9mm-hd-display-ip67-water-resistant-grey-strap-/p/268218
"SONOS One SL Smart Wi-Fi Speaker (Touch Control, White)","₹21,999",/sonos-one-sl-smart-wi-fi-speaker-touch-control-white-/p/246403
"PORTRONICS Kronos X2 Smartwatch with Activity Tracker (33mm Full Touch Display, IP67 Water Resistant, Blue Strap)","₹3,999",/portronics-kronos-x2-smartwatch-with-activity-tracker-33mm-full-touch-display-ip67-water-resistant-blue-strap-/p/253439
"noise NoiseFit Core Smart Watch with 13 Sports Modes ( 32.51mm 2.5D Curved HD TFT Display, IP68 Water Resistant, Silver Grey Strap)","₹5,999",/noise-noisefit-core-smart-watch-with-13-sports-modes-32-51mm-2-5d-curved-hd-tft-display-ip68-water-resistant-silver-grey-strap-/p/242887
"SYSKA Electric Powered 9 Watt Smart LED Bulb (SSKSMWP9WCCTC, White)",₹384,/syska-electric-powered-9-watt-smart-led-bulb-ssksmwp9wcctc-white-/p/222331
"in base Urban Pro Z Smartwatch with Bluetooth Calling (46.9mm HD Display, IP67 Water Resistant, Blue Strap)","₹9,999",/in-base-urban-pro-z-smartwatch-with-bluetooth-calling-46-9mm-hd-display-ip67-water-resistant-blue-strap-/p/268217
"JUST CORSECA Sportivo Smartwatch with Activity Tracker (42.92mm HD LCD Display, IP67 Water Resistant, Black Strap)","₹6,499",/just-corseca-sportivo-smartwatch-with-activity-tracker-42-92mm-hd-lcd-display-ip67-water-resistant-black-strap-/p/259930
"in base Urban Lite X Smartwatch with Activity Tracker (40.64mm IPS LCD Display, IPX68 Water Resistant, Black Strap)","₹5,999",/in-base-urban-lite-x-smartwatch-with-activity-tracker-40-64mm-ips-lcd-display-ipx68-water-resistant-black-strap-/p/251532
"PORTRONICS Kronos X2 Smartwatch with Activity Tracker (33.02mm Full Touch Display, IP67 Water Resistant, Grey Strap)","₹3,999",/portronics-kronos-x2-smartwatch-with-activity-tracker-33-02mm-full-touch-display-ip67-water-resistant-grey-strap-/p/255350
"eOnz North Edge Keep Smartwatch with Health Monitoring (42mm, IP68 Water Resistant, Black Strap)","₹4,999",/eonz-north-edge-keep-smartwatch-with-health-monitoring-42mm-ip68-water-resistant-black-strap-/p/242428
"noise ColorFit Vision Buzz Smartwatch with Bluetooth Calling (44.45mm TFT LCD Display, Water Resistant, Blue Strap)","₹5,999",/noise-colorfit-vision-buzz-smartwatch-with-bluetooth-calling-44-45mm-tft-lcd-display-water-resistant-blue-strap-/p/258726
"in base Urban Fit X Smartwatch with Activity Tracker (42.9mm LCD Display, IP68 Water Resistant, Grey Strap)","₹4,999",/in-base-urban-fit-x-smartwatch-with-activity-tracker-42-9mm-lcd-display-ip68-water-resistant-grey-strap-/p/251319
"Fitshot Loop Smartwatch with Health Monitoring (32.51mm Lucid Display, IP68 Water Resistant, Black Strap)","₹4,499",/fitshot-loop-smartwatch-with-health-monitoring-32-51mm-lucid-display-ip68-water-resistant-black-strap-/p/248233
"wipro Garnet 9 Watts Smart LED Bulb (Google Assistant and Alexa Supported, NS9500, White)",₹644,/wipro-garnet-9-watts-smart-led-bulb-google-assistant-and-alexa-supported-ns9500-white-/p/263969
"noise ColorFit Pro 2 Smartwatch with Activity Tracker (33mm LCD Display, IP68 Waterproof, Mist Grey Strap)","₹4,999",/noise-colorfit-pro-2-smartwatch-with-activity-tracker-33mm-lcd-display-ip68-waterproof-mist-grey-strap-/p/241245
"Haier 1.5 Ton 3 Star Dual Inverter Window Smart AC with Micro Antimicrobial Protection (Copper Condenser, Anti Dust Filter, HWU18I-AOW3BN-INV)","₹31,990",/haier-1-5-ton-3-star-dual-inverter-window-smart-ac-with-micro-antimicrobial-protection-copper-condenser-anti-dust-filter-hwu18i-aow3bn-inv-/p/304390
"SAMSUNG Geo 5 in 1 Convertible 1.5 Ton 5 Star Inverter Split Smart AC with Tri Care Filter (Copper Condenser, AR18BY5YATZNNA)","₹44,390",/samsung-geo-5-in-1-convertible-1-5-ton-5-star-inverter-split-smart-ac-with-tri-care-filter-copper-condenser-ar18by5yatznna-/p/247185
"SYSKA Electric Powered 7 Watt Smart Light Bulb (SSK-SMW-7W, White)","₹1,241",/syska-electric-powered-7-watt-smart-light-bulb-ssk-smw-7w-white-/p/215645
"eOnz North Edge Keep NL03 Smartwatch with Camera Control (32.5mm HD IPS Display, IP67 Water Resistant, Black Strap)","₹3,699",/eonz-north-edge-keep-nl03-smartwatch-with-camera-control-32-5mm-hd-ips-display-ip67-water-resistant-black-strap-/p/242426
